"","Algae","Ascidian","Bryozoan","Hard coral","Hard Substrate","Hydrozoa","Serpulid","Soft Substrate","Sponge","tag","site","season","depth","sample_date","transect","year","site_id","Reserve"
"1",0.519297191770536,0,0,0,0.101967262351704,0,0,0.378735545877759,0,"AchzivR101Fall2015","Achziv","Fall",10,2015-11-18,1,"2015","Achziv10","R"
"2",0.534587488004832,0,0,0,0.238140006137629,0,0,0.227272505857539,0,"AchzivR101Fall2016","Achziv","Fall",10,2016-11-29,1,"2016","Achziv10","R"
"3",0.529178157749586,0,0,0,0.192608935466078,0,0,0.278212906784335,0,"AchzivR101Fall2017","Achziv","Fall",10,2017-11-09,1,"2017","Achziv10","R"
"4",0.527914495150628,0,0,0,0.213747133099151,0,0,0.258338371750221,0,"AchzivR101Fall2018","Achziv","Fall",10,2018-10-31,1,"2018","Achziv10","R"
"5",0.800025411294091,0,0.122449648750338,0,0,0,0,0.0775249399555712,0,"AchzivR101Fall2019","Achziv","Fall",10,2019-11-05,1,"2019","Achziv10","R"
"6",0.990288346015218,0,0,0,0,0,0,0.00971165398478174,0,"AchzivR101Fall2020","Achziv","Fall",10,2020-10-19,1,"2020","Achziv10","R"
"7",0.784789226562097,0,0.150147051235746,0,0,0,0,0.0650637222021568,0,"AchzivR101Fall2021","Achziv","Fall",10,2021-10-14,1,"2021","Achziv10","R"
"8",0.411726500859514,0,0,0,0.432982386293665,0,0.134018357662325,0.021272755184496,0,"AchzivR101Spring2015","Achziv","Spring",10,2015-04-20,1,"2015","Achziv10","R"
"9",0.701684792298092,0,0,0,0.242110893207345,0,0,0.0562043144945623,0,"AchzivR101Spring2016","Achziv","Spring",10,2016-05-10,1,"2016","Achziv10","R"
"10",0.76320633904274,0,0,0,0.0349367696494317,0,0,0.201856891307828,0,"AchzivR101Spring2017","Achziv","Spring",10,2017-04-20,1,"2017","Achziv10","R"
"11",0.701608192827382,0,0,0,0.101982010046338,0,0,0.19640979712628,0,"AchzivR101Spring2018","Achziv","Spring",10,2018-04-10,1,"2018","Achziv10","R"
"12",0.78885014736761,0,0,0,0,0,0,0.17751536283254,0.0336344897998497,"AchzivR101Spring2019","Achziv","Spring",10,2019-05-01,1,"2019","Achziv10","R"
"13",1,0,0,0,0,0,0,0,0,"AchzivR101Spring2020","Achziv","Spring",10,2020-05-11,1,"2020","Achziv10","R"
"14",0.875991266099174,0,0,0,0.116027973798298,0,0,0.0079807601025284,0,"AchzivR101Spring2021","Achziv","Spring",10,2021-04-20,1,"2021","Achziv10","R"
"15",0.783941176332266,0.0549438541215533,0.00901642734302413,0,0,0,0,0.0767469708364554,0.0753515713667017,"AchzivR101Spring2022","Achziv","Spring",10,2022-05-10,1,"2022","Achziv10","R"
"16",0.528099782015562,0,0,0,0.235249960300847,0,0,0.236650257683591,0,"AchzivR102Fall2015","Achziv","Fall",10,2015-11-18,2,"2015","Achziv10","R"
"17",0.665447733779542,0,0,0,0.180555049445079,0,0,0.0869339126957786,0.0670633040796006,"AchzivR102Fall2016","Achziv","Fall",10,2016-11-29,2,"2016","Achziv10","R"
"18",0.420022223398063,0,0,0,0.323350441822319,0,0,0.256627334779618,0,"AchzivR102Fall2017","Achziv","Fall",10,2017-11-09,2,"2017","Achziv10","R"
"19",0.557969478592624,0,0,0,0.16521074305093,0,0,0.252274182246023,0.0245455961104238,"AchzivR102Fall2018","Achziv","Fall",10,2018-10-31,2,"2018","Achziv10","R"
