sample_date	Rugosity	SD	VerRelief	Slope	Curvature	mean_depth	mean_temp	LogVR	tag	TempDiff
18/05/2016	1.031352946	0.1678278	0.82644954	0.003690068	0.052564103	38.38641806	19.567	-0.190616416	SdotYam451Spring2016	-0.60197619
18/05/2016	1.014431687	0.084318366	0.40375031	0.000832827	0.053684211	38.4874508	19.472	-0.906958637	SdotYam452Spring2016	-0.69697619
18/05/2016	1.015079788	0.360046925	1.22398223	0.010026672	0.040909091	37.71593028	19.45069159	0.202109666	SdotYam453Spring2016	-0.718284601
18/05/2016	1.029112001	0.508716905	1.75346657	0.012369885	0.037837838	38.91856144	19.377	0.561594726	SdotYam454Spring2016	-0.79197619
23/12/2015	1.019159587	0.374426474	1.41880089	0.01011768	0.043548387	41.36516421	20.72833333	0.349812071	Achziv451Fall2015	0.008375883
23/12/2015	1.030154321	0.461794804	1.53239576	0.008969061	0.037727273	41.14331004	20.805	0.426832367	Achziv452Fall2015	0.08504255
23/12/2015	1.05180871	0.646249616	1.8353812	0.010299966	0.028392857	40.26924866	20.805	0.607252198	Achziv453Fall2015	0.08504255
23/12/2015	1.046512375	0.903995379	3.37448803	0.021157118	0.045769231	39.7369727	20.805	1.216243618	Achziv454Fall2015	0.08504255
06/12/2016	1.017669474	0.073328612	0.3279546	0.000276835	0.023829787	40.65636977	20.805	-1.114880095	Achziv451Fall2016	-0.06325714
06/12/2016	1.023763552	0.212202609	0.88309894	0.003715934	0.028604651	40.13060145	20.901	-0.124318035	Achziv452Fall2016	0.03274286
06/12/2016	1.030530411	0.704949598	2.42674562	0.017508769	0.044285714	43.55769317	20.901	0.886551109	Achziv453Fall2016	0.03274286
06/12/2016	1.021183763	0.383134969	1.27352578	0.009017684	0.067391304	42.71886496	20.901	0.241789259	Achziv454Fall2016	0.03274286
10/12/2017	1.019012951	0.388378245	1.26790032	0.011251654	0.045757576	40.39982096	21.664	0.237362241	SdotYam451Fall2017	0.05609091
10/12/2017	1.028839236	0.267243184	0.83908216	0.006531354	0.060384615	39.55156656	21.6647218	-0.175446651	SdotYam452Fall2017	0.056812715
10/12/2017	1.023685454	0.266401993	1.05383667	0.006750023	0.032972973	39.8088596	21.6807619	0.052437476	SdotYam453Fall2017	0.072852815
10/12/2017	1.042335665	0.260672198	1.01564274	0.00261627	0.061555556	38.98888739	21.69236364	0.015521653	SdotYam454Fall2017	0.084454546
11/05/2017	1.022940157	0.470734777	1.5009129	0.011383909	0.038461538	39.54296294	20.35292086	0.406073523	SdotYam451Spring2017	-1.260624587
11/05/2017	1.018192979	0.07020462	0.31532198	0.000227622	0.03575	40.91115204	20.329	-1.154161003	SdotYam452Spring2017	-1.28454545
11/05/2017	1.013713359	0.344441559	1.23622009	0.00828029	0.027	39.65341687	20.329	0.21205841	SdotYam453Spring2017	-1.28454545
11/05/2017	1.008767465	0.103410802	0.44776709	0.003227012	0.063333333	40.36174554	20.329	-0.80348207	SdotYam454Spring2017	-1.28454545
21/11/2018	1.035528863	0.577284609	2.31423637	0.010174464	0.029722222	42.67604476	23.06385882	0.839079771	Achziv451Fall2018	-0.174381176
21/11/2018	1.072811613	0.185973667	0.80088823	0.001652283	0.046949153	43.03741405	23.1	-0.22203388	Achziv452Fall2018	-0.13824
21/11/2018	1.027594697	0.615109179	1.89262274	0.018269277	0.053529412	40.68213166	23.1	0.63796356	Achziv453Fall2018	-0.13824
21/11/2018	1.027617851	0.100084565	0.44164816	0.000889079	0.034285714	39.77630358	23.1	-0.817241732	Achziv454Fall2018	-0.13824
26/05/2016	1.02803481	0.172059304	0.84549716	0.001463712	0.054375	39.65976239	22.76208475	-0.16783047	Achziv451Spring2016	-0.478607564
26/05/2016	1.018483098	0.077447273	0.35963484	0.00121268	0.025090909	40.03969067	22.71590286	-1.022666096	Achziv452Spring2016	-0.524789453
26/05/2016	1.017000957	0.425412294	1.59546015	0.010139668	0.040967742	42.73803688	22.62480952	0.46716219	Achziv453Spring2016	-0.615882786
26/05/2016	1.071255168	0.3575408	1.51403898	0.002402532	0.048571429	40.80583617	22.717	0.414780901	Achziv454Spring2016	-0.52369231
15/11/2017	1.022590758	0.304637242	1.21095485	0.008894114	0.062222222	41.55434657	22.565	0.191409181	Achziv451Fall2017	-0.96995238
15/11/2017	1.019107108	0.481472545	1.43103874	0.014719546	0.057777778	43.89649942	22.429	0.358400572	Achziv452Fall2017	-1.10595238
15/11/2017	1.026832611	0.116665085	0.50481125	0.00214167	0.0455	39.56658612	22.525	-0.683570682	Achziv453Fall2017	-1.00995238
15/11/2017	1.054892362	0.826275388	3.26109055	0.020346549	0.06	40.97292504	22.525	1.182061664	Achziv454Fall2017	-1.00995238
20/04/2015	1.172053587	0.369527713	1.9783	0.003304538	0.045892857	13.60520917	19.187	0.68223789	Achziv101Spring2015	
20/04/2015	1.003374927	0.024326261	0.2377	0.000238101	0.02	12.61090374	19.187	-1.436745905	Achziv102Spring2015	
20/04/2015	1.159021949	0.644803818	2.2611	0.011550074	0.085813953	13.04445066	19.187	0.815851421	Achziv103Spring2015	
20/04/2015	1.119518913	0.414356047	1.9275	0.008573247	0.099428571	11.99804218	19.187	0.656223826	Achziv104Spring2015	
11/05/2015	1.017955886	0.254446417	1.0549	0.007706976	0.100769231	9.185787692	22.812	0.053445976	SdotYam101Spring2015	
11/05/2015	1.112624332	0.691922369	2.6301	0.01998408	0.1425	9.818408654	22.812	0.967021868	SdotYam102Spring2015	
11/05/2015	1.13776425	0.325606494	1.4146	0.001887778	0.107714286	10.84249398	22.812	0.346846806	SdotYam103Spring2015	
11/05/2015	1.099810084	0.776761504	2.8296	0.012532611	0.086470588	10.04796077	22.81273846	1.040135359	SdotYam104Spring2015	
20/05/2015	1.037620796	0.473440056	1.5636	0.003015983	0.080952381	26.4269828	20.234	0.446990855	Achziv251Spring2015	
20/05/2015	1.039149259	0.286452102	1.0638	0.007951671	0.1315625	26.17362941	20.138	0.061847403	Achziv252Spring2015	
20/05/2015	1.033566994	0.465421473	1.442	0.015496461	0.115384615	25.67072292	20.138	0.366031039	Achziv253Spring2015	
20/05/2015	1.125674521	0.251141194	1.205	0.000155111	0.055555556	25.37367763	20.138	0.186479567	Achziv254Spring2015	
28/05/2015	1.053110893	0.121741472	0.6413	0.001218136	0.063684211	23.66528203	21.461125	-0.444257913	SdotYam251Spring2015	
28/05/2015	1.083853661	0.304249664	1.3143	0.004678964	0.05245614	24.6425772	21.32927979	0.273304205	SdotYam252Spring2015	
28/05/2015	1.018789861	0.330602415	1.2375	0.010944898	0.061818182	25.17270784	22.333	0.213093215	SdotYam253Spring2015	
28/05/2015	1.147174213	0.91156585	3.2059	0.01813621	0.066382979	24.95549059	21.93827059	1.164992862	SdotYam254Spring2015	
17/06/2015	1.016197396	0.690761158	2.18129781	0.024691128	0.046923077	43.62104721	21.951	0.779920025	Achziv451Spring2015	
17/06/2015	1.063844474	0.578568818	1.90397237	0.011685454	0.076129032	42.94798242	21.951	0.643942425	Achziv452Spring2015	
17/06/2015	1.030923909	0.331207072	1.44377005	0.004553767	0.045769231	42.97957738	21.951	0.367257783	Achziv453Spring2015	
17/06/2015	1.018062037	0.733590182	2.11862817	0.033654315	0.067083333	42.57534012	21.951	0.75076879	Achziv454Spring2015	
18/06/2015	1.023783641	0.368134338	1.3813965	0.011442651	0.0515	41.01376205	23.10538318	0.323094944	SdotYam451Spring2015	
18/06/2015	1.02367319	0.244157664	1.04120404	0.004829628	0.066129032	39.50008344	23.1	0.040377774	SdotYam452Spring2015	
18/06/2015	1.029593221	0.264676995	1.19279546	0.003398165	0.073666667	38.74685082	23.1	0.176299678	SdotYam453Spring2015	
18/06/2015	1.010200383	0.15628123	0.7318036	0.005282762	0.072692308	41.0913409	23.1	-0.312243107	SdotYam454Spring2015	
16/11/2015	1.066640377	0.490224776	1.4931	0.00837323	0.045192308	8.329907692	23.44997633	0.400854496	SdotYam101Fall2015	
16/11/2015	1.047457989	0.257902312	0.9844	0.001736051	0.0796	8.469976871	23.581	-0.01572296	SdotYam102Fall2015	
16/11/2015	1.041532144	0.480730625	1.8524	0.013504462	0.070384615	9.201976991	23.66085841	0.616482096	SdotYam103Fall2015	
16/11/2015	1.03949261	0.254638566	1.1508	0.001098933	0.063125	11.50897368	23.75447368	0.140457353	SdotYam104Fall2015	
16/05/2016	1.066838362	0.381254511	1.5234	0.007795526	0.083548387	10.84991418	21.4255	0.420944679	SdotYam101Spring2016	
16/05/2016	1.11210614	0.547697533	1.82	0.011073842	0.085789474	8.555761972	21.378	0.598836501	SdotYam102Spring2016	
16/05/2016	1.015492884	0.244938366	0.8103	0.007063626	0.052777778	9.461029204	21.378	-0.21035073	SdotYam103Spring2016	
16/05/2016	1.042429053	0.164886751	0.7392	0.003704905	0.105185185	11.15930625	21.287	-0.302186759	SdotYam104Spring2016	
16/05/2016	1.017890308	0.253895946	0.9296	0.005743442	0.034285714	24.22378769	20.63546154	-0.073000893	SdotYam251Spring2016	-0.790038462
16/05/2016	1.030030953	0.340475864	1.1796	0.004673354	0.0656	24.42677589	20.615	0.165175398	SdotYam252Spring2016	-0.763
16/05/2016	1.023946971	0.408946862	1.3585	0.010557608	0.056511628	26.44026462	20.55444615	0.30638115	SdotYam253Spring2016	-0.823553846
16/05/2016	1.018572735	0.475177991	1.6659	0.014293503	0.060689655	27.43567297	20.519	0.510365518	SdotYam254Spring2016	-0.768
25/10/2016	1.043222554	0.52220344	2.0274	0.018005149	0.0575	8.95296506	26.4620241	0.706754184	SdotYam101Fall2016	
25/10/2016	1.032441085	0.259822868	1.017	0.006804508	0.069230769	8.265747573	26.488	0.016857117	SdotYam102Fall2016	
25/10/2016	1.136138359	1.155538233	2.9865	0.021159272	0.113589744	8.276484564	26.488	1.094102133	SdotYam103Fall2016	
25/10/2016	1.028366575	0.178809159	0.7983	0.002563108	0.052181818	8.02337673	26.488	-0.225270812	SdotYam104Fall2016	
25/10/2016	1.070903853	0.251051527	1.2707	0.000116176	0.033636364	23.3770622	26.39	0.23956793	SdotYam251Fall2016	-0.072024096
25/10/2016	1.056233148	0.223420636	1.36	0.004334999	0.05452381	26.12581064	26.39	0.3074847	SdotYam252Fall2016	-0.098
25/10/2016	1.024082827	0.313832475	1.2322	0.004669218	0.036216216	23.51321667	26.39	0.20880119	SdotYam253Fall2016	-0.098
25/10/2016	1.010142642	0.289605796	0.9946	0.007695297	0.037407407	24.31335656	26.39	-0.005414633	SdotYam254Fall2016	-0.098
29/11/2016	1.035836669	0.266897499	0.9573	0.008720813	0.10875	13.30204186	21.10551163	-0.043638457	Achziv101Fall2016	
29/11/2016	1.027027639	0.242514871	1.0342	0.003334275	0.079444444	14.97747419	21.187	0.033628181	Achziv102Fall2016	
29/11/2016	1.016009246	0.467862283	1.1632	0.01378215	0.0348	12.45683204	21.187	0.151174828	Achziv103Fall2016	
29/11/2016	1.045187437	0.405097021	1.6712	0.006244451	0.054166667	11.40402727	21.187	0.513541931	Achziv104Fall2016	
29/11/2016	1.038907439	0.297929505	1.3131	0.006291669	0.054761905	26.94384638	18.6992971	0.272390754	Achziv251Fall2016	-2.406214526
29/11/2016	1.033679361	0.256814353	0.9606	0.004710458	0.053125	27.63849012	18.55442593	-0.04019719	Achziv252Fall2016	-2.632574074
29/11/2016	1.016205305	0.185266425	0.6664	0.00166655	0.024324324	25.31484966	18.53821477	-0.405865188	Achziv253Fall2016	-2.648785235
29/11/2016	1.044070298	0.327741708	1.1596	0.000180444	0.041176471	26.05734	18.56723333	0.148075118	Achziv254Fall2016	-2.619766667
20/04/2017	1.022832447	0.143495168	0.6682	0.001691421	0.105925926	12.55379853	18.79901471	-0.403167749	Achziv101Spring2017	
20/04/2017	1.046147559	0.456177886	1.4004	0.010301443	0.065897436	13.30737154	18.78042308	0.33675791	Achziv102Spring2017	
20/04/2017	1.018030301	0.078833462	0.392	0.000124292	0.061290323	10.82723429	18.806	-0.936493439	Achziv103Spring2017	
20/04/2017	1.022220037	0.248552029	0.9829	0.007439467	0.057	12.13025417	18.806	-0.017247893	Achziv104Spring2017	
20/04/2017	1.042133549	0.232340872	0.9484	0.004093801	0.059230769	25.0547728	18.521	-0.052978925	Achziv251Spring2017	-0.278014706
20/04/2017	1.026520903	0.776254021	2.4661	0.024459285	0.074333333	27.18803301	18.48779612	0.902637955	Achziv252Spring2017	-0.29262696
