,date,sample_year,season,kPa,TempC,Transect,depths,depth,site,site_id,reserve
1,24/05/2018 10:20,2018,Fall,374.185,22.333,1,27.4185,30,Ashdod,Ashdod30,N
2,24/05/2018 10:20,2018,Fall,371.429,22.333,1,27.1429,30,Ashdod,Ashdod30,N
3,24/05/2018 10:20,2018,Fall,364.186,22.333,1,26.4186,30,Ashdod,Ashdod30,N
4,24/05/2018 10:20,2018,Fall,370.789,22.429,1,27.0789,30,Ashdod,Ashdod30,N
5,24/05/2018 10:20,2018,Fall,374.506,22.333,1,27.4506,30,Ashdod,Ashdod30,N
6,24/05/2018 10:20,2018,Fall,374.506,22.333,1,27.4506,30,Ashdod,Ashdod30,N
7,24/05/2018 10:20,2018,Fall,374.506,22.333,1,27.4506,30,Ashdod,Ashdod30,N
8,24/05/2018 10:20,2018,Fall,374.378,22.429,1,27.4378,30,Ashdod,Ashdod30,N
9,24/05/2018 10:20,2018,Fall,374.25,22.429,1,27.425,30,Ashdod,Ashdod30,N
10,24/05/2018 10:20,2018,Fall,374.762,22.429,1,27.4762,30,Ashdod,Ashdod30,N
11,24/05/2018 10:20,2018,Fall,374.826,22.333,1,27.4826,30,Ashdod,Ashdod30,N
12,24/05/2018 10:20,2018,Fall,374.891,22.429,1,27.4891,30,Ashdod,Ashdod30,N
13,24/05/2018 10:20,2018,Fall,375.083,22.429,1,27.5083,30,Ashdod,Ashdod30,N
14,24/05/2018 10:20,2018,Fall,375.147,22.429,1,27.5147,30,Ashdod,Ashdod30,N
15,24/05/2018 10:20,2018,Fall,375.403,22.429,1,27.5403,30,Ashdod,Ashdod30,N
16,24/05/2018 10:20,2018,Fall,375.916,22.429,1,27.5916,30,Ashdod,Ashdod30,N
17,24/05/2018 10:20,2018,Fall,376.685,22.429,1,27.6685,30,Ashdod,Ashdod30,N
18,24/05/2018 10:20,2018,Fall,376.877,22.333,1,27.6877,30,Ashdod,Ashdod30,N
19,24/05/2018 10:20,2018,Fall,378.287,22.429,1,27.8287,30,Ashdod,Ashdod30,N
20,24/05/2018 10:20,2018,Fall,377.454,22.333,1,27.7454,30,Ashdod,Ashdod30,N
21,24/05/2018 10:20,2018,Fall,376.685,22.429,1,27.6685,30,Ashdod,Ashdod30,N
22,24/05/2018 10:20,2018,Fall,376.044,22.429,1,27.6044,30,Ashdod,Ashdod30,N
23,24/05/2018 10:20,2018,Fall,375.98,22.333,1,27.598,30,Ashdod,Ashdod30,N
24,24/05/2018 10:20,2018,Fall,375.659,22.333,1,27.5659,30,Ashdod,Ashdod30,N
25,24/05/2018 10:20,2018,Fall,375.98,22.333,1,27.598,30,Ashdod,Ashdod30,N
26,24/05/2018 10:20,2018,Fall,376.364,22.333,1,27.6364,30,Ashdod,Ashdod30,N
27,24/05/2018 10:20,2018,Fall,377.005,22.333,1,27.7005,30,Ashdod,Ashdod30,N
28,24/05/2018 10:20,2018,Fall,377.197,22.333,1,27.7197,30,Ashdod,Ashdod30,N
29,24/05/2018 10:20,2018,Fall,377.069,22.333,1,27.7069,30,Ashdod,Ashdod30,N
30,24/05/2018 10:20,2018,Fall,377.005,22.333,1,27.7005,30,Ashdod,Ashdod30,N
31,24/05/2018 10:20,2018,Fall,377.005,22.333,1,27.7005,30,Ashdod,Ashdod30,N
32,24/05/2018 10:20,2018,Fall,377.005,22.333,1,27.7005,30,Ashdod,Ashdod30,N
33,24/05/2018 10:20,2018,Fall,377.326,22.333,1,27.7326,30,Ashdod,Ashdod30,N
34,24/05/2018 10:20,2018,Fall,377.069,22.333,1,27.7069,30,Ashdod,Ashdod30,N
35,24/05/2018 10:20,2018,Fall,376.557,22.429,1,27.6557,30,Ashdod,Ashdod30,N
36,24/05/2018 10:20,2018,Fall,376.877,22.333,1,27.6877,30,Ashdod,Ashdod30,N
37,24/05/2018 10:20,2018,Fall,377.902,22.333,1,27.7902,30,Ashdod,Ashdod30,N
38,24/05/2018 10:20,2018,Fall,378.799,22.333,1,27.8799,30,Ashdod,Ashdod30,N
39,24/05/2018 10:21,2018,Fall,379.504,22.333,1,27.9504,30,Ashdod,Ashdod30,N
40,24/05/2018 10:21,2018,Fall,379.761,22.333,1,27.9761,30,Ashdod,Ashdod30,N
41,24/05/2018 10:21,2018,Fall,380.081,22.333,1,28.0081,30,Ashdod,Ashdod30,N
42,24/05/2018 10:21,2018,Fall,379.889,22.333,1,27.9889,30,Ashdod,Ashdod30,N
43,24/05/2018 10:21,2018,Fall,381.427,22.333,1,28.1427,30,Ashdod,Ashdod30,N
44,24/05/2018 10:21,2018,Fall,384.439,22.333,1,28.4439,30,Ashdod,Ashdod30,N
45,24/05/2018 10:21,2018,Fall,385.72,22.333,1,28.572,30,Ashdod,Ashdod30,N
46,24/05/2018 10:21,2018,Fall,386.553,22.333,1,28.6553,30,Ashdod,Ashdod30,N
47,24/05/2018 10:21,2018,Fall,387.194,22.333,1,28.7194,30,Ashdod,Ashdod30,N
48,24/05/2018 10:21,2018,Fall,388.219,22.333,1,28.8219,30,Ashdod,Ashdod30,N
49,24/05/2018 10:21,2018,Fall,389.757,22.333,1,28.9757,30,Ashdod,Ashdod30,N
50,24/05/2018 10:21,2018,Fall,391.102,22.333,1,29.1102,30,Ashdod,Ashdod30,N
51,24/05/2018 10:21,2018,Fall,391.166,22.333,1,29.1166,30,Ashdod,Ashdod30,N
52,24/05/2018 10:21,2018,Fall,392.576,22.333,1,29.2576,30,Ashdod,Ashdod30,N
53,24/05/2018 10:21,2018,Fall,393.985,22.333,1,29.3985,30,Ashdod,Ashdod30,N
54,24/05/2018 10:21,2018,Fall,395.075,22.333,1,29.5075,30,Ashdod,Ashdod30,N
55,24/05/2018 10:21,2018,Fall,394.946,22.333,1,29.4946,30,Ashdod,Ashdod30,N
56,24/05/2018 10:21,2018,Fall,395.395,22.333,1,29.5395,30,Ashdod,Ashdod30,N
